feature,mean_importance
RAD,-0.012106044764014844
CHAS,0.0008779990142745109
ZN,0.0018763231782952805
INDUS,0.004180299878346094
CRIM,0.013108803787580042
B,0.019434210256299718
TAX,0.023261135066864853
PTRATIO,0.0401068112941034
AGE,0.06045073180247991
NOX,0.07730890717693462
DIS,0.11147466638614578
RM,0.728687825451791
LSTAT,0.7372479460442679
