feature,shap_importance
RM,3.792120475911362
LSTAT,3.174307080003279
CRIM,0.8574784994666701
AGE,0.42172686048133395
DIS,0.31840166494874655
PTRATIO,0.20273986461860172
ZN,0.021212307826365243
INDUS,0.0
CHAS,0.0
NOX,0.0
RAD,0.0
TAX,0.0
B,0.0
