feature,mean_importance
ZN,-0.41722772277227593
INDUS,0.0
CHAS,0.0
NOX,0.0
RAD,0.0
TAX,0.0
B,0.0
AGE,0.5366665445984211
CRIM,4.390707470918001
PTRATIO,4.927832783278328
DIS,7.745949011469736
LSTAT,55.17924488304389
RM,65.29734563539829
