feature,weight
intercept,-0.0075949378021856065
CRIM,-0.09496271402141189
ZN,0.1578055127538204
INDUS,0.0055967398825851195
CHAS,0.12303799239541062
NOX,-0.21291252345648326
RM,0.2342991857151255
AGE,0.05810767209924263
DIS,-0.3564707563689662
RAD,0.3109585777557272
TAX,-0.24757480648834512
PTRATIO,-0.19786553779483307
B,0.11764139549053088
LSTAT,-0.508863935730847
