feature,mean_importance
CHAS,-0.00017003956179233447
INDUS,0.0001723967423222672
AGE,0.006188509217280069
CRIM,0.00934017741842479
B,0.0331724906182522
ZN,0.048762128523632806
RM,0.05969735999664934
PTRATIO,0.07145956264891544
NOX,0.09632035648342607
TAX,0.1387762934865025
RAD,0.1543691309453594
DIS,0.19406753453433587
LSTAT,0.28441078278162624
