feature,mean_importance
CHAS,0.00011675192504701226
INDUS,0.000281171235893507
ZN,0.0003763258131629282
RAD,0.004050847123326715
CRIM,0.014705105356761627
B,0.017489018459667393
PTRATIO,0.02303486714710813
TAX,0.02621774847298053
AGE,0.02913400314759911
NOX,0.0544892147764493
DIS,0.08936504515236468
RM,0.36073634777802494
LSTAT,0.5372384322610333
