iter	RMSE
136	2.403322716
137	2.391873209
138	2.382623555
139	2.371300234
140	2.361262861
141	2.354839124
142	2.348302169
143	2.340253288
144	2.329704972
145	2.32217196
146	2.313685097
147	2.305685368
148	2.296766772
149	2.28928243
150	2.280028819
151	2.271782886
152	2.262972565
153	2.258079214
154	2.248016248
155	2.239940022
156	2.232868881
157	2.227330556
158	2.220441874
159	2.214479309
160	2.204910456
161	2.19678264
162	2.192403638
163	2.186310152
164	2.179051164
165	2.172044153
166	2.164922681
167	2.159984668
168	2.152378008
169	2.146784441
170	2.139955385
171	2.134363144
172	2.128538903
173	2.120355627
174	2.114432479
175	2.109549173
176	2.105054142
177	2.096972306
178	2.090277233
179	2.082621394
180	2.078085442
181	2.071076041
182	2.065834723
183	2.059847908
184	2.052136719
185	2.046041335
186	2.041733299
187	2.035249385
188	2.029369586
189	2.02202259
190	2.016671584
191	2.013139844
192	2.007897482
193	2.003270737
194	1.998414786
195	1.993450551
196	1.988891233
197	1.983209845
198	1.979431775
199	1.974378241
200	1.967060721
201	1.963217986
202	1.957338693
203	1.953178049
204	1.948523653
205	1.943370799
206	1.939115767
207	1.933408026
208	1.929426367
209	1.92591151
210	1.922221881
211	1.917430285
212	1.911999259
213	1.905547333
214	1.901302578
215	1.895340755
216	1.888266412
217	1.881780384
218	1.878151167
219	1.873309488
220	1.870355534
221	1.864829773
222	1.859017876
223	1.854893808
224	1.848909032
225	1.843755963
226	1.839859588
227	1.833359633
228	1.830940029
229	1.825004774
230	1.820700941
231	1.817655678
232	1.811589095
233	1.808107052
234	1.800977773
235	1.796951818
236	1.792923181
237	1.789798973
238	1.784713603
239	1.779892162
240	1.776169149
241	1.773991634
242	1.770301216
243	1.76361165
244	1.759294805
245	1.7568174
246	1.751914755
247	1.745432027
248	1.743842288
249	1.740483
250	1.736899234
251	1.732391738
252	1.728225508
253	1.72252068
254	1.716860249
255	1.712523864
256	1.709250336
257	1.705269901
258	1.701831102
259	1.697499961
260	1.692668286
261	1.687602238
262	1.682087623
263	1.676335949
264	1.67137831
265	1.669283884
266	1.663678998
267	1.659219347
268	1.657313992
269	1.652332846
270	1.650077002
271	1.646401946
272	1.641812775
273	1.636669882
274	1.633346726
275	1.627652157
276	1.623011756
277	1.618943065
278	1.61691773
279	1.612813454
280	1.608588375
281	1.603289052
282	1.598323028
283	1.593081609
284	1.588724183
285	1.585818823
286	1.584481158
287	1.579684936
288	1.575556361
289	1.571324829
290	1.565185819
291	1.560277576
292	1.554786107
293	1.551125157
294	1.549573814
295	1.545790868
296	1.541456516
297	1.540016913
298	1.538362132
299	1.533546728
300	1.532136562
301	1.529613297
302	1.527907905
303	1.52342994
304	1.520033443
305	1.51613554
306	1.513176783
307	1.508768868
308	1.502876311
309	1.498252507
310	1.493598918
311	1.489378216
312	1.48575472
313	1.481243331
314	1.476139768
315	1.472237135
316	1.4673507
317	1.465826977
318	1.464431878
319	1.459700628
320	1.457829173
321	1.452905073
322	1.449159256
323	1.445693862
324	1.443853161
325	1.442691984
326	1.438824804
327	1.434931698
328	1.42946733
329	1.428370138
330	1.423377653
331	1.419891315
332	1.41481694
333	1.410713634
334	1.406783651
335	1.401840412
336	1.400883135
337	1.397782926
338	1.395207759
339	1.390285013
340	1.389044457
341	1.38416788
342	1.379748192
343	1.375073198
344	1.373840903
345	1.36845296
346	1.366202528
347	1.36190987
348	1.360965849
349	1.357181683
350	1.353628125
351	1.349436715
352	1.346776152
353	1.344783636
354	1.340795007
355	1.339489637
356	1.336789097
357	1.332665082
358	1.329733772
359	1.328846888
360	1.327654441
361	1.323935567
362	1.322151387
363	1.317757734
364	1.313968642
365	1.310961303
366	1.309414867
367	1.305957574
368	1.302950584
369	1.299677923
370	1.297352107
371	1.293799098
372	1.290771428
373	1.289289618
374	1.285451385
375	1.282183139
376	1.279422001
377	1.276179481
378	1.27252332
379	1.269160254
380	1.266074269
381	1.26242546
382	1.261173534
383	1.258204621
384	1.255977205
385	1.253645763
386	1.251993896
387	1.248562768
388	1.247906766
389	1.244534855
390	1.24256183
391	1.241073589
392	1.239908799
393	1.237153495
394	1.235160197
395	1.231892745
396	1.228263436
397	1.224775485
398	1.221311319
399	1.218685967
400	1.217885583
401	1.216708053
402	1.213417962
403	1.209740227
404	1.207228412
405	1.206600362
406	1.205984397
407	1.203411238
408	1.199686245
409	1.198675387
410	1.196175412
411	1.193387636
412	1.190665371
413	1.189916839
414	1.187045726
415	1.184216937
416	1.180808492
417	1.177583638
418	1.174216709
419	1.171549854
420	1.169534605
421	1.166747775
422	1.164157487
423	1.162658096
424	1.161954853
425	1.158840896
426	1.155183136
427	1.1533036
428	1.150990408
429	1.148384212
430	1.146390711
431	1.145068042
432	1.143679473
433	1.140843958
434	1.140302179
435	1.137441644
436	1.135473859
437	1.134573885
438	1.131516282
439	1.12843275
440	1.127850187
441	1.124224108
442	1.121416215
443	1.119131033
444	1.118421513
445	1.116817563
446	1.113918222
447	1.113260767
448	1.112497088
449	1.1083509
450	1.107676281
451	1.107164658
452	1.106138165
453	1.104559376
454	1.101968676
455	1.099636031
456	1.099149999
457	1.096208861
458	1.095627968
459	1.092268703
460	1.089694511
461	1.089283716
462	1.088825482
463	1.088459622
464	1.087456483
465	1.085576154
466	1.083210036
467	1.080768067
468	1.078960718
469	1.076797502
470	1.076478643
471	1.075985458
472	1.074024005
473	1.071866419
474	1.069838249
475	1.067663813
476	1.067339638
477	1.06471789
478	1.061110991
479	1.06079033
480	1.060536345
481	1.060086047
482	1.05962745
483	1.059114921
484	1.057059646
485	1.055152257
486	1.054872221
487	1.052560687
488	1.050831337
489	1.04858564
490	1.046261373
491	1.045977886
492	1.043739619
493	1.040930374
494	1.040679013
495	1.03925332
496	1.038815072
497	1.038456689
498	1.036324506
499	1.033782805
500	1.030576118
501	1.028445528
502	1.026126209
503	1.02553399
504	1.022889736
505	1.022620482
506	1.022378229
507	1.020044873
508	1.019819637
509	1.019457198
510	1.01704573
511	1.014646813
512	1.012924876
513	1.009657344
514	1.007586922
515	1.00728144
516	1.005715953
517	1.003362746
518	1.003134615
519	1.002906748
520	1.001455635
521	0.9993499651
522	0.998832173
523	0.995027069
524	0.9919790781
525	0.9893102608
526	0.9878922166
527	0.9849837299
528	0.9827387243
529	0.982540061
530	0.9800596311
531	0.9771874844
532	0.9751551403
533	0.9748025607
534	0.9724525126
535	0.9691442103
536	0.9669041519
537	0.9666954833
538	0.966270135
539	0.9654911856
540	0.9635537478
541	0.9613352486
542	0.959580508
543	0.9576230454
544	0.9556249944
545	0.9554072285
546	0.9537743104
547	0.9515371026
548	0.9504205419
549	0.9501228888
550	0.9481006039
551	0.9471576218
552	0.9450339515
553	0.9438165143
554	0.9433139626
555	0.940976256
556	0.9395671342
557	0.9376948081
558	0.9354457363
559	0.9336147125
560	0.931540112
561	0.9293360319
562	0.9272714437
563	0.9261375348
564	0.9259419944
565	0.9248759494
566	0.924689954
567	0.9225039728
568	0.9195874731
569	0.9177463092
570	0.9175826667
571	0.9154575719
572	0.9135109948
573	0.9129936555
574	0.9114694911
575	0.9099749408
576	0.9093703595
577	0.9088247794
578	0.9064112882
579	0.9041347677
580	0.9017771592
581	0.9000745191
582	0.8968578761
583	0.8947742313
584	0.8928531168
585	0.8909692938
586	0.8902527177
587	0.8898507453
588	0.8865741706
589	0.8861609585
590	0.88501981
591	0.8845779576
592	0.8836405279
593	0.8810786461
594	0.8790731429
595	0.8768886914
596	0.8751539527
597	0.8735953055
598	0.8710242959
599	0.8694182318
600	0.8676899251
601	0.865798523
602	0.8640291936
603	0.8625160166
604	0.8623344676
605	0.8605588677
606	0.8603735956
607	0.8588303808
608	0.8568666365
609	0.8541837815
610	0.8536614784
611	0.853101254
612	0.8514247317
613	0.8499492635
614	0.8476607874
615	0.846836298
616	0.846582187
617	0.8464438761
618	0.8440747291
619	0.8428068668
620	0.8405942941
621	0.8391245702
622	0.8388009305
623	0.8382196679
624	0.8370914999
625	0.8347752974
626	0.8327143147
627	0.832535447
