iter	Passed	Remaining
419	2862	3953
420	2880	3961
421	2889	3958
422	2896	3951
423	2908	3950
424	2916	3945
425	2921	3936
426	2925	3925
427	2936	3924
428	2944	3918
429	2950	3910
430	2959	3906
431	2971	3906
432	2974	3894
433	2979	3885
434	2984	3876
435	2991	3869
436	2996	3860
437	2999	3848
438	3004	3839
439	3019	3842
440	3022	3831
441	3026	3820
442	3028	3807
443	3029	3794
444	3031	3780
445	3034	3769
446	3036	3756
447	3037	3743
448	3039	3730
449	3043	3719
450	3049	3712
451	3052	3700
452	3060	3696
453	3074	3697
454	3079	3688
455	3083	3678
456	3091	3673
457	3099	3667
458	3102	3656
459	3107	3647
460	3118	3645
461	3123	3637
462	3131	3632
463	3139	3626
464	3147	3620
465	3153	3613
466	3160	3607
467	3177	3611
468	3179	3600
469	3184	3590
470	3193	3586
471	3196	3575
472	3200	3566
473	3208	3560
474	3219	3558
475	3221	3546
476	3226	3538
477	3233	3530
478	3248	3533
479	3254	3525
480	3258	3516
481	3264	3508
482	3272	3503
483	3278	3495
484	3285	3489
485	3297	3487
486	3302	3478
487	3306	3469
488	3313	3462
489	3320	3456
490	3330	3452
491	3334	3442
492	3340	3435
493	3349	3431
494	3358	3425
495	3367	3421
496	3370	3411
497	3376	3403
498	3386	3399
499	3391	3391
500	3398	3384
501	3409	3382
502	3414	3373
503	3421	3367
504	3428	3361
505	3437	3356
506	3439	3344
507	3448	3339
508	3455	3333
509	3466	3330
510	3476	3326
511	3479	3316
512	3487	3310
513	3493	3303
514	3498	3294
515	3501	3284
516	3512	3281
517	3518	3273
518	3522	3265
519	3526	3255
520	3531	3246
521	3541	3242
522	3548	3236
523	3551	3226
524	3556	3217
525	3566	3213
526	3569	3203
527	3577	3198
528	3581	3188
529	3589	3182
530	3593	3173
531	3598	3165
532	3603	3157
533	3610	3150
534	3617	3143
535	3626	3139
536	3630	3130
537	3637	3123
538	3645	3117
539	3651	3110
540	3658	3103
541	3665	3097
542	3670	3089
543	3677	3082
544	3686	3077
545	3692	3069
546	3697	3062
547	3704	3055
548	3710	3048
549	3717	3041
550	3725	3035
551	3729	3027
552	3738	3022
553	3744	3014
554	3748	3005
555	3754	2997
556	3759	2990
557	3766	2983
558	3772	2975
559	3779	2969
560	3782	2959
561	3789	2953
562	3795	2945
563	3799	2937
564	3804	2928
565	3811	2922
566	3817	2915
567	3821	2906
568	3828	2900
569	3831	2890
570	3833	2880
571	3834	2869
572	3836	2859
573	3840	2849
574	3843	2840
575	3851	2835
576	3854	2825
577	3858	2817
578	3867	2812
579	3875	2806
580	3883	2800
581	3906	2805
582	3916	2801
583	3924	2795
584	3930	2788
585	3939	2783
586	3945	2775
587	3951	2768
588	3957	2761
589	3960	2752
590	3970	2747
591	3973	2738
592	3980	2732
593	3984	2723
594	3988	2714
595	3996	2709
596	3999	2699
597	4005	2692
598	4010	2684
599	4021	2681
600	4026	2673
601	4033	2666
602	4051	2667
603	4057	2660
604	4065	2654
605	4078	2651
606	4087	2646
607	4092	2638
608	4100	2632
609	4107	2626
610	4119	2622
611	4123	2614
612	4132	2609
613	4141	2603
614	4150	2598
615	4159	2593
616	4169	2588
617	4175	2580
618	4179	2572
619	4186	2566
620	4192	2558
621	4195	2549
622	4201	2542
623	4212	2538
624	4216	2529
625	4219	2520
626	4224	2513
627	4229	2505
628	4234	2497
629	4238	2489
630	4245	2482
631	4255	2478
632	4259	2469
633	4266	2463
634	4272	2456
635	4277	2448
636	4285	2442
637	4294	2436
638	4298	2428
639	4302	2420
640	4313	2415
641	4324	2411
642	4328	2403
643	4336	2397
644	4345	2391
645	4350	2384
646	4358	2378
647	4364	2370
648	4368	2362
649	4370	2353
650	4372	2344
651	4374	2334
652	4375	2325
653	4377	2316
654	4382	2308
655	4386	2299
656	4389	2291
657	4392	2282
658	4398	2276
659	4407	2270
660	4415	2264
661	4423	2258
662	4436	2255
