feature,mean_importance
CHAS,-0.0007148232849730207
RAD,0.0016249538420361088
ZN,0.0020059433421211136
B,0.003947871537586039
AGE,0.014190353756191477
CRIM,0.02213732569151141
INDUS,0.025110389828289125
TAX,0.029394884919944485
PTRATIO,0.038683479310167024
DIS,0.07349302456123041
NOX,0.08201772583442749
RM,0.46565120347893296
LSTAT,0.8138832207969753
