feature,shap_importance
LSTAT,0.3936847480955408
RM,0.3603754202187954
CRIM,0.060842936737450365
NOX,0.03553592118778725
DIS,0.02561099363939694
B,0.011245781497945275
AGE,0.008148801868304679
TAX,0.008031412943652878
PTRATIO,0.006821035365180174
INDUS,0.0008624634874707798
CHAS,0.0005937721698192392
ZN,0.0
RAD,0.0
