feature,shap_importance
LSTAT,0.34490766769355063
DIS,0.2502105822600027
RAD,0.2409894592865915
RM,0.2379235465509796
TAX,0.19640110386765805
PTRATIO,0.13713262542366608
NOX,0.12953892218501917
ZN,0.09461756550364134
CRIM,0.07808555583912495
CHAS,0.06923387267901186
B,0.06167793063485135
INDUS,0.044068123542380815
AGE,0.0030112093296672327
